reference	sample	size	ex.itsx	ex.wirt	ex.lichen	ex.fun	ex.liquenicola	ex.tra
ITA87PB02DBQUR	Can_vit+N+A138	393	0	1	1	0	0	1
ITA87PB02ERHWS	Leca_intr+N+A360	392	0	0	0	0	0	0
ITA87PB02D04YH	Psori_con+N+A229	388	0	1	1	0	0	1
ITA87PB02DYC5S	Umb_cyl+N+A032	352	0	0	0	0	0	0
ITA87PB02C48DP	Teph_atr+Sky_teph+A280	325	0	0	0	0	0	0
ITA87PB02EQ6WA	Vari_lac+Stig_eucl+A622	313	0	1	1	0	0	1
ITA87PB02DIBI0	Leca_intr+N+A360	313	0	0	0	0	0	0
ITA87PB02EPVL5	Leca_poly+N+A243	303	0	0	0	0	0	0
ITA87PB02DW0XI	Umb_cyl+N+A032	302	0	0	0	0	0	0
ITA87PB02CX1HS	Psori_con+N+A476	295	0	1	1	0	0	1
ITA87PB02ETYBM	Teph_atr+Mue_atr+A440	288	0	0	0	0	0	0
ITA87PB02DAZ18	Leca_poly+Mue_pyg+A670	273	0	0	0	0	0	0
ITA87PB02EBZ3M	Leca_schw+N+A227	273	0	0	0	0	0	0
ITA87PB02DQB5N	Leca_poly+Lich_lec+A434	263	0	0	0	0	0	0
ITA87PB02DK85F	Teph_atr+Sky_teph+A280	263	0	0	0	0	0	0
ITA87PB02DP9DB	Leci_lap+N+A792	259	0	0	0	0	0	0
ITA87PB02DWHIU	Aspi_myr+Sag_fis+A608	251	0	0	0	0	0	0
ITA87PB02D7CAI	Leca_poly+N+A243	237	0	0	0	0	0	0
ITA87PB02ESI5T	Psori_con+N+A229	236	0	1	1	0	0	1
ITA87PB02EF6OW	Leca_poly+Mue_pyg+A670	232	0	0	0	0	0	0
ITA87PB02DN8OE	Teph_atr+Tae_atr+A809	227	0	0	0	0	0	0
ITA87PB02EPIZ8	Leca_intr+N+A360	218	0	0	0	0	0	0
ITA87PB02EBL8U	Teph_atr+N+A361	210	1	0	0	1	0	11
ITA87PB02DE7O4	Teph_atr+Tae_atr+A809	208	0	0	0	0	0	0
ITA87PB02ETNGV	Aspi_myr+Sag_fis+A608	203	0	0	0	0	0	0
ITA87PB02C7UZF	Teph_atr+Mue_atr+A440	202	0	0	0	0	0	0
ITA87PB02DAE0A	Leca_poly+N+A243	196	0	0	0	0	0	0
ITA87PB02DVUOK	Leci_lap+N+A792	195	0	0	0	0	0	0
ITA87PB02ELYGS	Teph_atr+Sky_teph+A280	180	0	0	0	0	0	0
ITA87PB02ET9QG	Leca_poly+Lich_lec+A434	177	0	0	0	0	0	0
ITA87PB02EGD80	Aspi_myr+Sag_fis+A608	170	0	0	0	0	0	0
ITA87PB02DHBJK	Leca_intr+N+A360	170	0	0	0	0	0	0
ITA87PB02DROC0	Leca_poly+Mue_pyg+A670	167	0	0	0	0	0	0
ITA87PB02DCGVD	Leca_poly+N+A243	161	0	0	0	0	0	0
ITA87PB02CY1ID	Psori_con+N+A229	157	0	1	1	0	0	1
ITA87PB02DLNWA	Leca_schw+N+A227	156	0	0	0	0	0	0
ITA87PB02DIH8G	Umb_cyl+N+A032	152	0	0	1	0	0	1
ITA87PB02EU5ZJ	Leca_poly+Cer_epi+A482	133	0	0	0	0	0	0
ITA87PB02EKH9D	Teph_atr+N+A361	129	0	0	0	0	0	0
ITA87PB02EEH9G	Umb_cyl+N+A032	128	0	0	1	0	0	1
ITA87PB02C8KGT	Teph_atr+N+A361	118	0	0	0	0	0	0
ITA87PB02C17X6	Teph_atr+Sky_teph+A280	116	1	0	0	1	0	11
ITA87PB02DORVW	Leca_bic+N+A368	113	0	1	1	0	0	1
ITA87PB02C3NHY	Leca_poly+N+A243	109	0	0	0	0	0	0
ITA87PB02DQD6H	Leca_schw+N+A227	107	1	1	1	1	0	11
ITA87PB02EPXXF	Leca_poly+Cer_epi+A482	105	0	0	0	0	0	0
ITA87PB02DS4ZR	Teph_atr+Sky_teph+A280	102	0	0	0	0	0	0
ITA87PB02DBTKA	Leca_poly+Mue_pyg+A670	100	0	0	0	0	0	0
ITA87PB02EMWEK	Aspi_myr+Sag_fis+A608	99	0	1	1	0	0	1
ITA87PB02DWD7Q	Psori_con+N+A476	98	0	0	0	0	0	0
ITA87PB02EOWQE	Psori_con+N+A476	97	0	0	0	0	0	0
ITA87PB02C0X25	Psori_con+N+A229	93	0	1	1	0	0	1
ITA87PB02CYK1X	Leca_intr+N+A360	92	0	0	0	0	0	0
ITA87PB02DE8UL	Teph_atr+N+A361	91	0	0	0	0	0	0
ITA87PB02DA5G7	Psori_con+N+A476	90	0	0	0	0	0	0
ITA87PB02EJ2MN	Leca_poly+Mue_pyg+A670	89	0	0	0	0	0	0
ITA87PB02D92ON	Leca_poly+N+A243	89	0	0	0	0	0	0
ITA87PB02EV22N	Teph_atr+N+A361	87	0	0	0	0	0	0
ITA87PB02CXXUP	Aca_fus+N+A623	85	1	1	1	1	0	11
